交易时间，短分时级别格式为yyyy-MM-dd HH:mm:ss，日线级别为yyyy-MM-dd,开盘价（元）,最高价（元）,最低价（元）,收盘价（元）,成交量（手）,成交额（元）,振幅（%）,换手率（%）,涨跌幅（%）,涨跌额（元）,ud
2018-01-18,21.85,23.83,21.85,23.83,71,167873.0,11.96,0.04,43.99,7.28,2024-11-30 00:31:34
2018-01-19,26.21,26.21,26.21,26.21,14,36694.0,0.0,0.01,9.99,2.38,2024-11-30 00:31:34
2018-01-22,28.83,28.83,28.83,28.83,26,74958.0,0.0,0.01,10.0,2.62,2024-11-30 00:31:34
2018-01-23,31.71,31.71,31.71,31.71,30,94590.0,0.0,0.01,9.99,2.88,2024-11-30 00:31:34
2018-01-24,34.88,34.88,34.88,34.88,95,331360.0,0.0,0.05,10.0,3.17,2024-11-30 00:31:34
2018-01-25,38.37,38.37,38.37,38.37,161,617757.0,0.0,0.08,10.01,3.49,2024-11-30 00:31:34
2018-01-26,42.21,42.21,42.21,42.21,488,2061578.0,0.0,0.24,10.01,3.84,2024-11-30 00:31:34
2018-01-29,46.43,46.43,46.43,46.43,804,3733157.0,0.0,0.4,10.0,4.22,2024-11-30 00:31:34
2018-01-30,51.07,51.07,51.07,51.07,3037,15509959.0,0.0,1.52,9.99,4.64,2024-11-30 00:31:34
2018-01-31,56.18,56.18,56.18,56.18,2814,15806355.0,0.0,1.41,10.01,5.11,2024-11-30 00:31:34
2018-02-01,60.0,61.8,57.33,61.0,145087,860153600.0,7.96,72.54,8.58,4.82,2024-11-30 00:31:34
2018-02-02,58.55,60.44,54.9,54.9,85951,493262816.0,9.08,42.98,-10.0,-6.1,2024-11-30 00:31:34
2018-02-05,50.0,51.2,49.41,49.41,51274,255326216.0,3.26,25.64,-10.0,-5.49,2024-11-30 00:31:34
2018-02-06,44.82,46.8,44.47,44.47,64679,291226848.0,4.72,32.34,-10.0,-4.94,2024-11-30 00:31:34
2018-02-07,47.0,48.92,45.0,47.3,84385,402867440.0,8.81,42.19,6.36,2.83,2024-11-30 00:31:34
