交易时间，短分时级别格式为yyyy-MM-dd HH:mm:ss，日线级别为yyyy-MM-dd,K值,D值,J值
2018-01-30,100.0,100.0,100.0
2018-01-31,100.0,100.0,100.0
2018-02-01,99.19,99.73,98.11
2018-02-02,91.82,97.1,81.26
2018-02-05,79.22,91.15,55.36
2018-02-06,61.51,81.28,21.97
2018-02-07,49.68,70.76,7.52
2018-02-08,40.78,60.78,0.78
2018-02-09,34.75,52.11,0.03
2018-02-12,39.41,47.88,22.47
2018-02-13,32.98,42.92,13.1
2018-02-14,24.85,36.9,0.75
2018-02-22,26.3,33.37,12.16
2018-02-23,28.88,31.87,22.9
2018-02-26,37.82,33.85,45.76
2018-02-27,47.99,38.56,66.85
2018-02-28,40.72,39.28,43.6
2018-03-01,49.01,42.52,61.99
2018-03-02,65.99,50.34,97.29
2018-03-05,77.32,59.32,113.32
2018-03-06,84.87,67.83,118.95
2018-03-07,89.91,75.18,119.37
2018-03-08,93.27,81.2,117.41
2018-03-16,95.51,85.97,114.59
2018-03-19,97.01,89.65,111.73
2018-03-20,98.01,92.43,109.17
2018-03-21,96.81,93.89,102.65
2018-03-22,93.16,93.65,92.18
2018-03-23,95.44,94.25,97.82
2018-03-26,93.38,93.96,92.22
2018-03-27,95.58,94.5,97.74
2018-04-04,97.05,95.35,100.45
2018-04-09,98.03,96.24,101.61
2018-04-10,86.64,93.04,73.84
2018-04-11,80.62,88.9,64.06
2018-04-12,73.2,83.67,52.26
2018-04-13,62.77,76.71,34.89
2018-04-16,56.05,69.83,28.49
2018-04-17,44.24,61.31,10.1
2018-04-18,35.25,52.63,0.49
2018-04-19,24.72,43.34,-12.52
2018-04-20,16.74,34.48,-18.74
2018-04-23,13.71,27.56,-13.99
2018-04-24,21.07,25.4,12.41
2018-04-25,24.02,24.94,22.18
2018-04-26,18.57,22.82,10.07
2018-04-27,14.34,20.0,3.02
2018-05-02,20.96,20.32,22.24
2018-05-03,27.02,22.55,35.96
2018-05-04,24.7,23.27,27.56
2018-05-07,36.47,27.67,54.07
2018-05-08,39.3,31.54,54.82
2018-05-09,40.44,34.5,52.32
2018-05-10,40.41,36.47,48.29
2018-05-11,39.96,37.63,44.62
2018-05-14,38.09,37.78,38.71
2018-05-15,39.27,38.28,41.25
2018-05-16,36.58,37.71,34.32
2018-05-17,34.16,36.53,29.42
2018-05-18,34.78,35.95,32.44
2018-05-21,56.5,42.79,83.92
2018-05-22,56.87,47.48,75.65
2018-05-23,57.62,50.86,71.14
2018-05-24,51.08,50.93,51.38
2018-05-25,34.99,45.62,13.73
2018-05-28,24.78,38.68,-3.02
2018-05-29,21.44,32.94,-1.56
2018-05-30,14.3,26.73,-10.56
2018-05-31,11.96,21.81,-7.74
2018-06-01,9.78,17.8,-6.26
2018-06-04,8.44,14.68,-4.04
2018-06-05,11.85,13.74,8.07
2018-06-06,13.0,13.49,12.02
2018-06-07,9.31,12.1,3.73
2018-06-08,8.58,10.93,3.88
2018-06-11,6.53,9.46,0.67
2018-06-12,13.33,10.75,18.49
2018-06-13,9.86,10.45,8.68
2018-06-14,30.49,17.12,57.23
2018-06-15,28.27,20.83,43.15
2018-06-19,20.34,20.67,19.68
2018-06-20,19.18,20.17,17.2
2018-06-21,14.42,18.26,6.74
2018-06-22,14.7,17.07,9.96
2018-06-25,17.34,17.16,17.7
2018-06-26,24.24,19.52,33.68
2018-06-27,30.24,23.09,44.54
2018-06-28,27.27,24.48,32.85
2018-06-29,42.87,30.6,67.41
2018-07-02,45.9,35.69,66.32
2018-07-03,55.56,42.31,82.06
2018-07-04,43.23,42.62,44.45
2018-07-05,30.17,38.47,13.57
2018-07-06,28.33,35.09,14.81
2018-07-09,31.26,33.81,26.16
2018-07-10,37.95,35.19,43.47
2018-07-11,36.57,35.65,38.41
2018-07-12,48.25,39.85,65.05
2018-07-13,52.57,44.09,69.53
2018-07-16,58.29,48.82,77.23
2018-07-17,57.03,51.55,67.99
2018-07-18,47.04,50.05,41.02
2018-07-19,33.27,44.46,10.89
2018-07-20,27.42,38.79,4.68
2018-07-23,23.64,33.75,3.42
2018-07-24,26.95,31.49,17.87
2018-07-25,21.42,28.14,7.98
2018-07-26,15.58,23.96,-1.18
2018-07-27,11.62,19.85,-4.84
2018-07-30,10.14,16.62,-2.82
2018-07-31,10.41,14.55,2.13
2018-08-01,7.15,12.09,-2.73
2018-08-02,15.05,13.08,18.99
2018-08-03,13.67,13.28,14.45
2018-08-06,10.01,12.19,5.65
2018-08-07,14.78,13.05,18.24
2018-08-08,12.13,12.74,10.91
2018-08-09,35.14,20.2,65.02
2018-08-10,49.14,29.84,87.74
2018-08-13,59.39,39.68,98.81
2018-08-14,63.19,47.51,94.55
2018-08-15,56.62,50.54,68.78
2018-08-16,45.59,48.89,38.99
2018-08-17,32.97,43.59,11.73
2018-08-20,32.25,39.81,17.13
2018-08-21,39.11,39.58,38.17
2018-08-22,33.75,37.64,25.97
2018-08-23,40.79,38.69,44.99
2018-08-24,44.3,40.56,51.78
2018-08-27,51.88,44.33,66.98
2018-08-28,53.33,47.33,65.33
2018-08-29,51.17,48.61,56.29
2018-08-30,48.7,48.64,48.82
2018-08-31,34.13,43.81,14.77
2018-09-03,28.85,38.83,8.89
2018-09-04,27.13,34.93,11.53
2018-09-05,27.49,32.45,17.57
