交易时间，短分时级别格式为yyyy-MM-dd HH:mm:ss，日线级别为yyyy-MM-dd,DIFF值,DEA值,MACD值,EMA（12）值,EMA（26）值
2018-01-18,0.0,0.0,0.0,23.83,23.83
2018-01-19,0.19,0.038,0.304,24.1962,24.0063
2018-01-22,0.546,0.14,0.812,24.9091,24.3636
2018-01-23,1.048,0.321,1.453,25.9554,24.9078
2018-01-24,1.682,0.593,2.177,27.3284,25.6465
2018-01-25,2.438,0.962,2.952,29.0271,26.589
2018-01-26,3.309,1.432,3.755,31.0552,27.7461
2018-01-29,4.291,2.004,4.574,33.4206,29.1301
2018-01-30,5.381,2.679,5.403,36.1359,30.7553
2018-01-31,6.581,3.459,6.243,39.2196,32.6386
2018-02-01,7.831,4.334,6.995,42.5704,34.7394
2018-02-02,8.235,5.114,6.241,44.4673,36.2328
2018-02-05,8.019,5.695,4.648,45.2277,37.2089
2018-02-06,7.364,6.029,2.671,45.1111,37.7468
2018-02-07,6.994,6.222,1.544,45.4479,38.4544
2018-02-08,6.655,6.308,0.693,45.7944,39.1393
2018-02-09,6.31,6.309,0.003,46.0799,39.7697
2018-02-12,6.349,6.317,0.064,47.0553,40.7068
2018-02-13,5.888,6.231,-0.686,47.0745,41.1863
2018-02-14,5.207,6.026,-1.639,46.6015,41.3947
2018-02-22,4.76,5.773,-2.027,46.4828,41.7232
2018-02-23,4.4,5.498,-2.197,46.4685,42.0689
2018-02-26,4.267,5.252,-1.97,46.841,42.5742
2018-02-27,4.231,5.048,-1.634,47.3808,43.1502
2018-02-28,3.766,4.791,-2.051,47.0884,43.3228
2018-03-01,3.721,4.577,-1.712,47.541,43.8196
2018-03-02,4.043,4.47,-0.854,48.6932,44.65
2018-03-05,4.688,4.514,0.348,50.5142,45.8263
2018-03-06,5.622,4.736,1.773,52.9859,47.3636
2018-03-07,6.822,5.153,3.337,56.1019,49.2804
2018-03-08,8.267,5.776,4.983,59.8647,51.5974
2018-03-16,9.949,6.61,6.677,64.2886,54.3398
2018-03-19,11.86,7.66,8.399,69.395,57.5354
2018-03-20,13.999,8.928,10.143,75.2158,61.2165
2018-03-21,15.885,10.319,11.131,80.8518,64.9671
2018-03-22,16.954,11.646,10.615,85.1823,68.2288
2018-03-23,18.467,13.01,10.914,90.5235,72.0563
2018-03-26,19.015,14.211,9.608,94.2183,75.2032
2018-03-27,20.141,15.397,9.488,99.1063,78.9652
2018-04-04,21.799,16.678,10.242,105.1807,83.3819
2018-04-09,23.955,18.133,11.644,112.4529,88.4981
2018-04-10,24.626,19.432,10.389,117.1694,92.5434
2018-04-11,25.285,20.602,9.366,121.9587,96.6735
2018-04-12,25.011,21.484,7.054,125.042,100.031
2018-04-13,23.701,21.927,3.547,126.0878,102.3872
2018-04-16,22.576,22.057,1.038,127.3051,104.7289
2018-04-17,20.8,21.806,-2.012,127.1043,106.3045
2018-04-18,19.482,21.341,-3.718,127.5344,108.0523
2018-04-19,17.669,20.607,-5.875,126.8214,109.1521
2018-04-20,15.102,19.506,-8.807,124.395,109.2927
2018-04-23,13.13,18.231,-10.2,122.7496,109.6192
2018-04-24,12.343,17.053,-9.42,123.1066,110.7637
2018-04-25,11.229,15.888,-9.319,122.721,111.4923
2018-04-26,9.628,14.636,-10.016,121.2378,111.6099
2018-04-27,8.218,13.352,-10.269,119.8935,111.6758
2018-05-02,7.618,12.205,-9.176,119.9099,112.2924
2018-05-03,7.198,11.204,-8.012,120.1884,112.9907
2018-05-04,6.156,10.194,-8.077,119.2071,113.0514
2018-05-07,6.177,9.391,-6.428,120.1275,113.9506
2018-05-08,5.781,8.669,-5.776,120.2463,114.4654
2018-05-09,5.354,8.006,-5.304,120.2484,114.8946
2018-05-10,4.74,7.353,-5.226,119.8286,115.0891
2018-05-11,4.18,6.718,-5.075,119.4273,115.2469
2018-05-14,3.607,6.096,-4.978,118.9185,115.3116
2018-05-15,3.394,5.556,-4.323,119.0233,115.6293
2018-05-16,3.02,5.048,-4.058,118.7859,115.7664
2018-05-17,2.661,4.571,-3.819,118.5265,115.8652
2018-05-18,2.459,4.149,-3.379,118.5163,116.0574
2018-05-21,3.218,3.962,-1.489,120.3307,117.1131
2018-05-22,3.341,3.838,-0.993,121.0291,117.6877
2018-05-23,3.429,3.756,-0.655,121.6754,118.2464
2018-05-24,3.057,3.617,-1.118,121.4484,118.3911
2018-05-25,2.283,3.35,-2.134,120.3917,118.1088
2018-05-28,1.265,2.933,-3.336,118.7545,117.4896
2018-05-29,0.672,2.481,-3.617,117.7923,117.12
2018-05-30,-0.697,1.845,-5.084,115.2473,115.9444
2018-05-31,-1.634,1.149,-5.567,113.34,114.9744
2018-06-01,-2.721,0.375,-6.192,111.0108,113.7319
2018-06-04,-3.558,-0.412,-6.293,109.0076,112.5658
2018-06-05,-3.903,-1.11,-5.586,107.8341,111.7372
2018-06-06,-4.241,-1.736,-5.009,106.6258,110.8663
2018-06-07,-4.737,-2.336,-4.801,105.0634,109.7999
2018-06-08,-5.013,-2.872,-4.283,103.8536,108.8666
2018-06-11,-5.3,-3.357,-3.886,102.5838,107.8839
2018-06-12,-5.6,-3.806,-3.589,101.2478,106.8481
2018-06-13,-6.063,-4.257,-3.611,99.5558,105.6186
2018-06-14,-5.636,-4.533,-2.206,99.5134,105.1491
2018-06-15,-5.742,-4.775,-1.934,98.5036,104.2455
2018-06-19,-6.432,-5.106,-2.652,96.3523,102.7844
2018-06-20,-6.718,-5.429,-2.578,94.8827,101.6004
2018-06-21,-7.295,-5.802,-2.986,92.81,100.1048
2018-06-22,-7.504,-6.142,-2.723,91.3654,98.8689
2018-06-25,-7.468,-6.407,-2.121,90.363,97.8305
2018-06-26,-7.115,-6.549,-1.132,89.9764,97.0912
2018-06-27,-6.693,-6.578,-0.231,89.7739,96.4667
2018-06-28,-6.61,-6.584,-0.052,88.9779,95.5877
2018-06-29,-6.055,-6.478,0.847,89.1044,95.159
2018-07-02,-5.773,-6.337,1.128,88.7822,94.5554
2018-07-03,-5.256,-6.121,1.729,88.9542,94.2106
2018-07-04,-5.333,-5.963,1.262,88.0566,93.3891
2018-07-05,-5.477,-5.866,0.779,87.0171,92.4936
2018-07-06,-5.325,-5.758,0.865,86.5268,91.8519
2018-07-09,-5.024,-5.611,1.174,86.3473,91.371
2018-07-10,-4.592,-5.407,1.631,86.4631,91.0546
2018-07-11,-4.372,-5.2,1.656,86.2303,90.6024
2018-07-12,-3.922,-4.945,2.044,86.4733,90.3956
2018-07-13,-3.615,-4.679,2.127,86.5051,90.1204
2018-07-16,-3.291,-4.401,2.221,86.6151,89.9056
2018-07-17,-3.129,-4.147,2.036,86.4574,89.5859
2018-07-18,-3.147,-3.947,1.599,85.9747,89.1218
2018-07-19,-3.249,-3.807,1.116,85.3278,88.5772
2018-07-20,-3.226,-3.691,0.929,84.9081,88.1344
2018-07-23,-3.189,-3.591,0.803,84.5192,87.7081
2018-07-24,-3.004,-3.473,0.939,84.4209,87.4245
2018-07-25,-2.984,-3.375,0.783,84.03,87.0138
2018-07-26,-3.435,-3.387,-0.095,82.7346,86.1691
2018-07-27,-3.825,-3.475,-0.701,81.4908,85.3158
2018-07-30,-4.215,-3.623,-1.184,80.1922,84.4072
2018-07-31,-4.442,-3.787,-1.311,79.1519,83.5941
2018-08-01,-4.676,-3.965,-1.422,78.067,82.7427
